symbol,price,buy_qty,sell_qty
LTCUSDT,51.1,0.2,0.0
LTCUSDT,51.2,53.09,0.0
LTCUSDT,51.300000000000004,187.62,0.0
LTCUSDT,51.400000000000006,3.13,0.0
LTCUSDT,51.5,318.92,0.0
LTCUSDT,51.6,7.96,0.0
LTCUSDT,51.7,151.26,0.0
LTCUSDT,51.800000000000004,5.1,0.0
LTCUSDT,51.900000000000006,1.43,0.0
LTCUSDT,52.0,1566.54,0.0
LTCUSDT,52.1,220.65,0.0
LTCUSDT,52.2,181.39,0.0
LTCUSDT,52.300000000000004,20.98,0.0
LTCUSDT,52.400000000000006,2.87,0.0
LTCUSDT,52.5,325.76,0.0
LTCUSDT,52.6,66.8,0.0
LTCUSDT,52.7,59.87,0.0
LTCUSDT,52.800000000000004,189.47,0.0
LTCUSDT,53.0,3454.18,0.0
LTCUSDT,53.1,58.11,0.0
LTCUSDT,53.2,395.24,0.0
LTCUSDT,53.300000000000004,0.46,0.0
LTCUSDT,53.400000000000006,269.57,0.0
LTCUSDT,53.5,192.27,0.0
LTCUSDT,53.6,57.25,0.0
LTCUSDT,53.7,4785.04,0.0
LTCUSDT,53.800000000000004,150.98,0.0
LTCUSDT,53.900000000000006,3.32,0.0
LTCUSDT,54.0,352.19,0.0
LTCUSDT,54.1,4.8,0.0
LTCUSDT,54.2,80.15,0.0
LTCUSDT,54.300000000000004,101.66,0.0
LTCUSDT,54.400000000000006,121.08,0.0
LTCUSDT,54.5,179.34,0.0
LTCUSDT,54.6,632.97,0.0
LTCUSDT,54.7,207.13,0.0
LTCUSDT,54.800000000000004,5523.05,0.0
LTCUSDT,54.900000000000006,796.9,0.0
LTCUSDT,55.0,1920.94,0.0
LTCUSDT,55.1,3843.45,0.0
LTCUSDT,55.2,2573.8,0.0
LTCUSDT,55.300000000000004,2860.89,0.0
LTCUSDT,55.400000000000006,1330.37,333.0
LTCUSDT,55.5,0.0,3327.52
LTCUSDT,55.6,0.0,1491.63
LTCUSDT,55.7,0.0,2301.82
LTCUSDT,55.800000000000004,0.0,2457.04
LTCUSDT,55.900000000000006,0.0,651.1
LTCUSDT,56.0,0.0,5561.75
LTCUSDT,56.1,0.0,59.34
LTCUSDT,56.2,0.0,56.65
LTCUSDT,56.300000000000004,0.0,570.66
LTCUSDT,56.400000000000006,0.0,1.17
LTCUSDT,56.5,0.0,425.96
LTCUSDT,56.6,0.0,0.79
LTCUSDT,56.7,0.0,1.22
LTCUSDT,56.800000000000004,0.0,1551.51
LTCUSDT,56.900000000000006,0.0,60.19
LTCUSDT,57.0,0.0,385.79
LTCUSDT,57.1,0.0,4738.89
LTCUSDT,57.2,0.0,373.84
LTCUSDT,57.300000000000004,0.0,2.64
LTCUSDT,57.400000000000006,0.0,2.56
LTCUSDT,57.5,0.0,286.84
LTCUSDT,57.6,0.0,2.22
LTCUSDT,57.800000000000004,0.0,31.83
LTCUSDT,57.900000000000006,0.0,53.78
LTCUSDT,58.0,0.0,713.92
LTCUSDT,58.1,0.0,17.95
LTCUSDT,58.2,0.0,3.48
LTCUSDT,58.400000000000006,0.0,1.97
LTCUSDT,58.5,0.0,3.21
LTCUSDT,58.6,0.0,2942.38
LTCUSDT,58.7,0.0,151.11
LTCUSDT,58.800000000000004,0.0,477.96
LTCUSDT,58.900000000000006,0.0,2.65
LTCUSDT,59.0,0.0,26.56
LTCUSDT,59.1,0.0,1.47
LTCUSDT,59.2,0.0,151.88
LTCUSDT,59.300000000000004,0.0,7.65
LTCUSDT,59.400000000000006,0.0,1.81
LTCUSDT,59.5,0.0,0.55
LTCUSDT,59.6,0.0,0.98
LTCUSDT,59.7,0.0,170.24
LTCUSDT,59.800000000000004,0.0,0.14
LTCUSDT,59.900000000000006,0.0,2.0
LTCUSDT,60.0,0.0,294.73
LTCUSDT,60.1,0.0,1.1
LTCUSDT,60.2,0.0,151.11
LTCUSDT,60.300000000000004,0.0,4.98
LTCUSDT,60.400000000000006,0.0,2.21
LTCUSDT,60.5,0.0,18.22
LTCUSDT,60.6,0.0,0.22
LTCUSDT,60.7,0.0,150.32
LTCUSDT,60.800000000000004,0.0,0.63
LTCUSDT,60.900000000000006,0.0,1.31
LTCUSDT,61.0,0.0,4.89
LTCUSDT,61.1,0.0,0.11
LTCUSDT,61.2,0.0,150.22
LTCUSDT,61.300000000000004,0.0,0.78
LTCUSDT,61.400000000000006,0.0,93.91
LTCUSDT,61.5,0.0,0.69
LTCUSDT,61.6,0.0,0.44
LTCUSDT,61.7,0.0,151.51
LTCUSDT,61.800000000000004,0.0,4.21
LTCUSDT,61.900000000000006,0.0,3.06
LTCUSDT,62.0,0.0,19.29
LTCUSDT,62.1,0.0,0.31
LTCUSDT,62.2,0.0,150.1
LTCUSDT,62.400000000000006,0.0,200.52
LTCUSDT,62.5,0.0,2.0
LTCUSDT,62.6,0.0,3.21
LTCUSDT,62.7,0.0,150.07
LTCUSDT,62.800000000000004,0.0,6.42
LTCUSDT,62.900000000000006,0.0,13.42
LTCUSDT,63.0,0.0,50.11
LTCUSDT,63.2,0.0,150.38
LTCUSDT,63.400000000000006,0.0,3.12
LTCUSDT,63.5,0.0,75.45
LTCUSDT,63.6,0.0,150.0
LTCUSDT,63.7,0.0,18.83
LTCUSDT,63.800000000000004,0.0,1.34
LTCUSDT,63.900000000000006,0.0,22.25
LTCUSDT,64.0,0.0,51.82
LTCUSDT,64.10000000000001,0.0,150.0
LTCUSDT,64.2,0.0,24.04
LTCUSDT,64.3,0.0,0.59
LTCUSDT,64.4,0.0,2.16
LTCUSDT,64.5,0.0,72.52
LTCUSDT,64.60000000000001,0.0,150.84
LTCUSDT,64.7,0.0,7.95
LTCUSDT,64.8,0.0,22.22
LTCUSDT,64.9,0.0,1.95
LTCUSDT,65.0,0.0,3.98
LTCUSDT,65.10000000000001,0.0,151.98
LTCUSDT,65.2,0.0,181.59
LTCUSDT,65.3,0.0,1.09
LTCUSDT,65.5,0.0,50.3
LTCUSDT,65.60000000000001,0.0,150.0
LTCUSDT,65.7,0.0,21.93
LTCUSDT,65.8,0.0,38.23
LTCUSDT,65.9,0.0,1.11
LTCUSDT,66.0,0.0,79.6
LTCUSDT,66.10000000000001,0.0,150.92
LTCUSDT,66.2,0.0,0.9
LTCUSDT,66.3,0.0,15.79
LTCUSDT,66.4,0.0,0.12
LTCUSDT,66.5,0.0,52.83
LTCUSDT,66.60000000000001,0.0,155.15
LTCUSDT,66.8,0.0,1.11
LTCUSDT,67.0,0.0,16.52
LTCUSDT,67.10000000000001,0.0,150.89
LTCUSDT,67.3,0.0,299.35
LTCUSDT,67.4,0.0,2.47
LTCUSDT,67.5,0.0,2.29
LTCUSDT,67.60000000000001,0.0,151.11
LTCUSDT,67.7,0.0,1.02
LTCUSDT,67.8,0.0,0.38
LTCUSDT,67.9,0.0,0.29
LTCUSDT,68.0,0.0,4.37
LTCUSDT,68.10000000000001,0.0,150.0
LTCUSDT,68.2,0.0,1.78
LTCUSDT,68.3,0.0,15.42
LTCUSDT,68.5,0.0,151.89
LTCUSDT,68.60000000000001,0.0,3.6
LTCUSDT,68.7,0.0,7.52
LTCUSDT,68.8,0.0,1.7
LTCUSDT,69.0,0.0,161.23
LTCUSDT,69.10000000000001,0.0,0.28
LTCUSDT,69.3,0.0,5.77
LTCUSDT,69.4,0.0,6.15
LTCUSDT,69.5,0.0,275.28
LTCUSDT,69.60000000000001,0.0,0.09
LTCUSDT,69.8,0.0,21.73
LTCUSDT,69.9,0.0,1.44
LTCUSDT,70.0,0.0,242.27
LTCUSDT,70.10000000000001,0.0,6.14
LTCUSDT,70.2,0.0,200.38
LTCUSDT,70.3,0.0,0.28
LTCUSDT,70.4,0.0,0.0
LTCUSDT,70.5,0.0,150.0
LTCUSDT,70.7,0.0,1.08
LTCUSDT,70.8,0.0,0.28
LTCUSDT,70.9,0.0,0.84
LTCUSDT,71.0,0.0,150.0
LTCUSDT,71.10000000000001,0.0,1.68
LTCUSDT,71.2,0.0,10.3
LTCUSDT,71.3,0.0,10.09
LTCUSDT,71.4,0.0,5.96
LTCUSDT,71.5,0.0,151.17
LTCUSDT,71.60000000000001,0.0,156.56
LTCUSDT,71.7,0.0,17.65
LTCUSDT,71.8,0.0,0.14
LTCUSDT,71.9,0.0,0.83
LTCUSDT,72.0,0.0,153.25
LTCUSDT,72.10000000000001,0.0,100.0
LTCUSDT,72.2,0.0,0.11
LTCUSDT,72.5,0.0,166.54
LTCUSDT,72.60000000000001,0.0,1.05
LTCUSDT,72.7,0.0,22.12
LTCUSDT,72.8,0.0,8.1
LTCUSDT,72.9,0.0,1.23
LTCUSDT,73.0,0.0,150.64
LTCUSDT,73.2,0.0,0.09
LTCUSDT,73.3,0.0,1.65
LTCUSDT,73.5,0.0,150.0
LTCUSDT,73.60000000000001,0.0,5.44
LTCUSDT,73.7,0.0,0.7
LTCUSDT,73.9,0.0,0.93
LTCUSDT,74.0,0.0,379.02
LTCUSDT,74.2,0.0,0.3
LTCUSDT,74.4,0.0,150.35
LTCUSDT,74.5,0.0,1.29
LTCUSDT,74.60000000000001,0.0,0.48
LTCUSDT,74.7,0.0,5.36
LTCUSDT,74.9,0.0,161.17
LTCUSDT,75.0,0.0,219.7
LTCUSDT,75.10000000000001,0.0,1.75
LTCUSDT,75.4,0.0,151.92
LTCUSDT,75.60000000000001,0.0,0.74
LTCUSDT,75.7,0.0,0.12
LTCUSDT,75.8,0.0,6.06
LTCUSDT,75.9,0.0,150.0
LTCUSDT,76.0,0.0,26.81
LTCUSDT,76.2,0.0,0.14
LTCUSDT,76.4,0.0,10.0
LTCUSDT,76.5,0.0,1.0
LTCUSDT,76.60000000000001,0.0,0.36
LTCUSDT,76.7,0.0,7.11
LTCUSDT,76.80000000000001,0.0,5.0
LTCUSDT,76.9,0.0,5.29
LTCUSDT,77.0,0.0,25.25
LTCUSDT,77.10000000000001,0.0,1500.49
XRPUSDT,1.34,37375.27,0.0
XRPUSDT,1.35,68582.77,0.0
XRPUSDT,1.36,91744.09,0.0
XRPUSDT,1.37,66242.8,0.0
XRPUSDT,1.3800000000000001,218617.91,0.0
XRPUSDT,1.3900000000000001,712092.57,0.0
XRPUSDT,1.4000000000000001,2154494.23,0.0
XRPUSDT,1.41,395227.88,1896031.86
XRPUSDT,1.42,0.0,418609.68
XRPUSDT,1.43,0.0,104752.92
XRPUSDT,1.44,0.0,1170116.08
XRPUSDT,1.45,0.0,142134.14
XRPUSDT,1.46,0.0,31062.35
